datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
07MAR2025,MOUSTIER,1.38,1.38,1,SNCB/NMBS,2025-03
01MAR2025,DEINZE,0.57,0.45,1,SNCB/NMBS,2025-03
01MAR2025,ANZEGEM,-0.13,-0.13,1,SNCB/NMBS,2025-03
18MAR2025,MEVERGNIES-ATTRE,4.6,4.18,1,SNCB/NMBS,2025-03
14MAR2025,LA ROCHE(BRABANT),-0.17,0.35,1,SNCB/NMBS,2025-03
18MAR2025,WAREGEM,20.15,20.65,1,SNCB/NMBS,2025-03
15MAR2025,RIXENSART,1.7,1.7,1,SNCB/NMBS,2025-03
23MAR2025,GALMAARDEN,1.48,0.65,1,SNCB/NMBS,2025-03
09MAR2025,LAUWE,-0.97,-0.97,1,SNCB/NMBS,2025-03
21MAR2025,LOUVAIN-LA-NEUVE,0.13,,1,SNCB/NMBS,2025-03
11MAR2025,ZICHEM,2.27,2.27,1,SNCB/NMBS,2025-03
22MAR2025,HAREN-ZUID,-0.12,-0.12,1,SNCB/NMBS,2025-03
26MAR2025,WATERMAAL,-0.5,-0.5,1,SNCB/NMBS,2025-03
20MAR2025,DUINBERGEN,0.37,0.68,1,SNCB/NMBS,2025-03
11MAR2025,HALLE,0.92,1.82,1,SNCB/NMBS,2025-03
27MAR2025,QUAREGNON,-2.6,0.28,1,SNCB/NMBS,2025-03
20MAR2025,HAREN-ZUID,0.72,0.72,1,SNCB/NMBS,2025-03
03MAR2025,WILDERT,1.15,0.73,1,SNCB/NMBS,2025-03
08MAR2025,TERNAT,1.03,0.82,1,SNCB/NMBS,2025-03
05MAR2025,KORTENBERG-GOEDEREN,13.2,13.2,1,SNCB/NMBS,2025-03
07MAR2025,SCHAARBEEK,7.8,,1,SNCB/NMBS,2025-03
06MAR2025,BRUSSEL-CONGRES,5.27,5.27,1,SNCB/NMBS,2025-03
07MAR2025,LANDEN,12.07,,1,SNCB/NMBS,2025-03
24MAR2025,SCHAARBEEK,-1.37,-1.37,1,SNCB/NMBS,2025-03
10MAR2025,MELSELE,3.23,3.07,1,SNCB/NMBS,2025-03
12MAR2025,IDDERGEM,2.12,2.13,1,SNCB/NMBS,2025-03
10MAR2025,SINT-NIKLAAS-OOST,-0.07,-0.07,1,SNCB/NMBS,2025-03
07MAR2025,MECHELEN-NEKKERSPOEL,-0.07,-0.07,1,SNCB/NMBS,2025-03
11MAR2025,OBAIX-BUZET,-0.68,-0.68,1,SNCB/NMBS,2025-03
30MAR2025,SCHAARBEEK-JOSAPHAT,9.9,9.9,1,SNCB/NMBS,2025-03
08MAR2025,ERPS-KWERPS,4.52,4.52,1,SNCB/NMBS,2025-03
